# DADman User Manual — Translation Glossary
# ─────────────────────────────────────────────────────────────────────────────
# Import this file into:
#   • Crowdin: Project → Terminology → Import (CSV format)
#   • DeepL: Settings → Glossaries → Create glossary (use pairwise columns)
#
# Columns: English, German, French, Japanese, Spanish (LatAm), Korean
# DO NOT TRANSLATE = term is a brand name, acronym, or technical standard;
#                    use the English form in all languages.
#
# Last updated: 2026-06-11
# ─────────────────────────────────────────────────────────────────────────────
English,German,French,Japanese,Spanish (Latinoamérica),Korean,Notes
gain,Verstärkung,gain,ゲイン,ganancia,게인,
phantom power,Phantomspeisung,alimentation fantôme,ファンタム電源,alimentación fantasma,팬텀 전원,
pad,Pad,pad,パッド,pad,패드,Technical term — keep as "Pad" in all languages
reference level,Referenzpegel,niveau de référence,基準レベル,nivel de referencia,기준 레벨,
headroom,Headroom,headroom,ヘッドルーム,margen dinámico,헤드룸,

# ── Monitoring ───────────────────────────────────────────────────────────────
monitor control,Monitorsteuerung,contrôle de monitoring,モニター コントロール,control de monitor,모니터 컨트롤,
speaker set,Lautsprecherset,ensemble d'enceintes,スピーカー セット,conjunto de altavoces,스피커 세트,
fold-down,Fold-Down,repli,フォールド ダウン,mezcla descendente,폴드다운,Sometimes "downmix" in other standards
bass management,Bassverwaltung,gestion des basses,バス マネジメント,gestión de graves,베이스 매니지먼트,
Dolby Atmos,Dolby Atmos,Dolby Atmos,Dolby Atmos,Dolby Atmos,Dolby Atmos,Brand name — do not translate
immersive audio,immersiver Ton,audio immersif,イマーシブ オーディオ,audio inmersivo,이머시브 오디오,

# ── Software & sessions ──────────────────────────────────────────────────────
session,Session,session,セッション,sesión,세션,
configuration,Konfiguration,configuration,コンフィグレーション,configuración,구성,
profile,Profil,profil,プロファイル,perfil,프로파일,
preset,Preset,préréglage,プリセット,ajuste predefinido,프리셋,
firmware,Firmware,micrologiciel,ファームウェア,firmware,펌웨어,
driver,Treiber,pilote,ドライバー,controlador,드라이버,
device,Gerät,périphérique,デバイス,dispositivo,장치,
unit,Gerät,appareil,ユニット,unidad,유닛,Same DE as "device" — context distinguishes
device list,Geräteliste,liste des périphériques,デバイス リスト,lista de dispositivos,장치 목록,
cloning,Klonen,clonage,クローニング,clonación,클로닝,Copying config from one unit to another

# ── Safety & regulatory ──────────────────────────────────────────────────────
DANGER,GEFAHR,DANGER,危険,PELIGRO,위험,IEC 82079-1 signal word — all caps
WARNING,WARNUNG,AVERTISSEMENT,警告,ADVERTENCIA,경고,IEC 82079-1 signal word — all caps
CAUTION,VORSICHT,ATTENTION,注意,PRECAUCIÓN,주의,IEC 82079-1 signal word — all caps
NOTE,HINWEIS,REMARQUE,注記,NOTA,참고,IEC 82079-1 signal word — all caps
